"Product ID","Average Price","Packaging","Price","Price Table","Status","Card Type","Related Image","Related Image Alt","Related Image Caption","Body","Related File","Type","Created date","Updated date","design form","Product Type","SKU","Price Table Amount","Price Table Quantity"
"173","2","120","13200","
 Quantity5 - 9 

 Price$120.00 


","1","","https://dev-bigfundraisingideas.enterpriseapplicationdevelopers.com:8201/sites/default/files/spicy-sweet-popalicious-popcorn.png","$2 Spicy & Savory Popcorn Fundraising Bags sc-31100","$2 Spicy & Savory Popcorn Fundraising Bags","Earn up to 55% profit selling our tasty Pop-A-Licious™ Spicy & Sweet Popcorn. Flavors include sweet Caramel, Kettle Corn, and the spicy goodness of Jalapeño Cheddar. 100% gluten-free. No high fructose corn syrup.
Nutrition facts available upon request.
Case Pricing



Cases
Cost/Case
Profit
Profit/Case




1-4
$132
45%
$108


5-9
$120
50%
$120


10+
$108
55%
$132



Product Details
Packaging: 120 items per case (4 inner carriers of 30) Carrier contentsSelling Price: $2.00Payment Options: Learn moreDelivery: 7-10 business days. Free shipping
","","Product","1550340840","1636056372","","119","sc-31100","13200 ",""
"173","2","120","13200","
 Quantity10 - Unlimited 

 Price$108.00 


","1","","https://dev-bigfundraisingideas.enterpriseapplicationdevelopers.com:8201/sites/default/files/spicy-sweet-popalicious-popcorn.png","$2 Spicy & Savory Popcorn Fundraising Bags sc-31100","$2 Spicy & Savory Popcorn Fundraising Bags","Earn up to 55% profit selling our tasty Pop-A-Licious™ Spicy & Sweet Popcorn. Flavors include sweet Caramel, Kettle Corn, and the spicy goodness of Jalapeño Cheddar. 100% gluten-free. No high fructose corn syrup.
Nutrition facts available upon request.
Case Pricing



Cases
Cost/Case
Profit
Profit/Case




1-4
$132
45%
$108


5-9
$120
50%
$120


10+
$108
55%
$132



Product Details
Packaging: 120 items per case (4 inner carriers of 30) Carrier contentsSelling Price: $2.00Payment Options: Learn moreDelivery: 7-10 business days. Free shipping
","","Product","1550340840","1636056372","","119","sc-31100","13200 ",""
"174","1","240","14400","
 Quantity2 - 11 

 Price$144.00 


","1","","https://dev-bigfundraisingideas.enterpriseapplicationdevelopers.com:8201/sites/default/files/big-brands-pretzel-rods-fundraising_0.png","$1 Big Brands Pretzel Rods Fundraising Product gw-10001","$1 Big Brands Pretzel Rods Fundraising Product","Big Brands Pretzel Rods are savory pretzel rods dipped in 100% real chocolate, topped with M&M's®, Reese’s Pieces®, Heath Toffee®, and rainbow sprinkles. Offer a treat that everyone will love.
Nutrition facts available upon request.
Case Pricing



Cases
Cost/Case
Profit
Profit/Case




2-11
$144
40%
$96


12-23
$132
45%
$108


24-47
$125
48%
$115


48+
$120
50%
$120



Product Details
Packaging: 240 items per case (4 inner carriers of 60). Carrier contentsItem Size: 8.5” (1 oz.)Selling Price: $1.00Payment Options: Learn moreDelivery: Ships in 1-5 business days. Free shipping
","","Product","1552568486","1618877109","","172","gw-10001","14400 ",""
"174","1","240","14400","
 Quantity12 - 23 

 Price$132.00 


","1","","https://dev-bigfundraisingideas.enterpriseapplicationdevelopers.com:8201/sites/default/files/big-brands-pretzel-rods-fundraising_0.png","$1 Big Brands Pretzel Rods Fundraising Product gw-10001","$1 Big Brands Pretzel Rods Fundraising Product","Big Brands Pretzel Rods are savory pretzel rods dipped in 100% real chocolate, topped with M&M's®, Reese’s Pieces®, Heath Toffee®, and rainbow sprinkles. Offer a treat that everyone will love.
Nutrition facts available upon request.
Case Pricing



Cases
Cost/Case
Profit
Profit/Case




2-11
$144
40%
$96


12-23
$132
45%
$108


24-47
$125
48%
$115


48+
$120
50%
$120



Product Details
Packaging: 240 items per case (4 inner carriers of 60). Carrier contentsItem Size: 8.5” (1 oz.)Selling Price: $1.00Payment Options: Learn moreDelivery: Ships in 1-5 business days. Free shipping
","","Product","1552568486","1618877109","","172","gw-10001","14400 ",""
"174","1","240","14400","
 Quantity24 - 47 

 Price$125.00 


","1","","https://dev-bigfundraisingideas.enterpriseapplicationdevelopers.com:8201/sites/default/files/big-brands-pretzel-rods-fundraising_0.png","$1 Big Brands Pretzel Rods Fundraising Product gw-10001","$1 Big Brands Pretzel Rods Fundraising Product","Big Brands Pretzel Rods are savory pretzel rods dipped in 100% real chocolate, topped with M&M's®, Reese’s Pieces®, Heath Toffee®, and rainbow sprinkles. Offer a treat that everyone will love.
Nutrition facts available upon request.
Case Pricing



Cases
Cost/Case
Profit
Profit/Case




2-11
$144
40%
$96


12-23
$132
45%
$108


24-47
$125
48%
$115


48+
$120
50%
$120



Product Details
Packaging: 240 items per case (4 inner carriers of 60). Carrier contentsItem Size: 8.5” (1 oz.)Selling Price: $1.00Payment Options: Learn moreDelivery: Ships in 1-5 business days. Free shipping
","","Product","1552568486","1618877109","","172","gw-10001","14400 ",""
"174","1","240","14400","
 Quantity48 - Unlimited 

 Price$120.00 


","1","","https://dev-bigfundraisingideas.enterpriseapplicationdevelopers.com:8201/sites/default/files/big-brands-pretzel-rods-fundraising_0.png","$1 Big Brands Pretzel Rods Fundraising Product gw-10001","$1 Big Brands Pretzel Rods Fundraising Product","Big Brands Pretzel Rods are savory pretzel rods dipped in 100% real chocolate, topped with M&M's®, Reese’s Pieces®, Heath Toffee®, and rainbow sprinkles. Offer a treat that everyone will love.
Nutrition facts available upon request.
Case Pricing



Cases
Cost/Case
Profit
Profit/Case




2-11
$144
40%
$96


12-23
$132
45%
$108


24-47
$125
48%
$115


48+
$120
50%
$120



Product Details
Packaging: 240 items per case (4 inner carriers of 60). Carrier contentsItem Size: 8.5” (1 oz.)Selling Price: $1.00Payment Options: Learn moreDelivery: Ships in 1-5 business days. Free shipping
","","Product","1552568486","1618877109","","172","gw-10001","14400 ",""
"175","2","120","18000","
 Quantity1 - 4 

 Price$180.00 


","0","","https://dev-bigfundraisingideas.enterpriseapplicationdevelopers.com:8201/sites/default/files/xl-hersheys-assortment-fundraising-carrier.png","$2 Hersheys Assortment Fundraising Carrier rsd-39938","$2 Hersheys Assortment Carrier","Make twice the profit with our $2 XL Hershey's Assortment fundraising kit. Offer 4 popular name-brand candy products, including Hershey's Milk Chocolate with Almonds, Kit Kat, Reese's Peanut Butter Cups, and Twizzlers.
Receive a free 5 lb. Hershey chocolate bar with every 6 cases ordered.
Case Pricing



Cases
Cost/Case
Profit
Profit/Case




1-4
$180
25%
$60


5-9
$168
30%
$72


10-24
$156
35%
$84


25+
$144
40%
$96



Product Details
Packaging: 120 items per case (4 inner carriers of 30). Carrier contentsItem Size Range: 1.85-5 oz.Selling Price: $2.00Payment Options: Learn moreDelivery: 3-7 business days. Free Shipping
","","Product","1561673600","1614465382","","118","rsd-39938","18000 ",""
"175","2","120","18000","
 Quantity5 - 9 

 Price$168.00 


","0","","https://dev-bigfundraisingideas.enterpriseapplicationdevelopers.com:8201/sites/default/files/xl-hersheys-assortment-fundraising-carrier.png","$2 Hersheys Assortment Fundraising Carrier rsd-39938","$2 Hersheys Assortment Carrier","Make twice the profit with our $2 XL Hershey's Assortment fundraising kit. Offer 4 popular name-brand candy products, including Hershey's Milk Chocolate with Almonds, Kit Kat, Reese's Peanut Butter Cups, and Twizzlers.
Receive a free 5 lb. Hershey chocolate bar with every 6 cases ordered.
Case Pricing



Cases
Cost/Case
Profit
Profit/Case




1-4
$180
25%
$60


5-9
$168
30%
$72


10-24
$156
35%
$84


25+
$144
40%
$96



Product Details
Packaging: 120 items per case (4 inner carriers of 30). Carrier contentsItem Size Range: 1.85-5 oz.Selling Price: $2.00Payment Options: Learn moreDelivery: 3-7 business days. Free Shipping
","","Product","1561673600","1614465382","","118","rsd-39938","18000 ",""
"175","2","120","18000","
 Quantity10 - 24 

 Price$156.00 


","0","","https://dev-bigfundraisingideas.enterpriseapplicationdevelopers.com:8201/sites/default/files/xl-hersheys-assortment-fundraising-carrier.png","$2 Hersheys Assortment Fundraising Carrier rsd-39938","$2 Hersheys Assortment Carrier","Make twice the profit with our $2 XL Hershey's Assortment fundraising kit. Offer 4 popular name-brand candy products, including Hershey's Milk Chocolate with Almonds, Kit Kat, Reese's Peanut Butter Cups, and Twizzlers.
Receive a free 5 lb. Hershey chocolate bar with every 6 cases ordered.
Case Pricing



Cases
Cost/Case
Profit
Profit/Case




1-4
$180
25%
$60


5-9
$168
30%
$72


10-24
$156
35%
$84


25+
$144
40%
$96



Product Details
Packaging: 120 items per case (4 inner carriers of 30). Carrier contentsItem Size Range: 1.85-5 oz.Selling Price: $2.00Payment Options: Learn moreDelivery: 3-7 business days. Free Shipping
","","Product","1561673600","1614465382","","118","rsd-39938","18000 ",""
"175","2","120","18000","
 Quantity25 - Unlimited 

 Price$144.00 


","0","","https://dev-bigfundraisingideas.enterpriseapplicationdevelopers.com:8201/sites/default/files/xl-hersheys-assortment-fundraising-carrier.png","$2 Hersheys Assortment Fundraising Carrier rsd-39938","$2 Hersheys Assortment Carrier","Make twice the profit with our $2 XL Hershey's Assortment fundraising kit. Offer 4 popular name-brand candy products, including Hershey's Milk Chocolate with Almonds, Kit Kat, Reese's Peanut Butter Cups, and Twizzlers.
Receive a free 5 lb. Hershey chocolate bar with every 6 cases ordered.
Case Pricing



Cases
Cost/Case
Profit
Profit/Case




1-4
$180
25%
$60


5-9
$168
30%
$72


10-24
$156
35%
$84


25+
$144
40%
$96



Product Details
Packaging: 120 items per case (4 inner carriers of 30). Carrier contentsItem Size Range: 1.85-5 oz.Selling Price: $2.00Payment Options: Learn moreDelivery: 3-7 business days. Free Shipping
","","Product","1561673600","1614465382","","118","rsd-39938","18000 ",""
